2026-05-17 14:48:00 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:48:00 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2026-05-17 14:48:00 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8888 (http)
2026-05-17 14:48:00 INFO  [o.a.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8888"]
2026-05-17 14:48:00 INFO  [o.a.catalina.core.StandardService] - Starting service [Tomcat]
2026-05-17 14:48:00 INFO  [o.a.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.56]
2026-05-17 14:48:00 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2026-05-17 14:48:00 INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 583 ms
2026-05-17 14:48:01 INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2026-05-17 14:48:01 INFO  [o.a.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8888"]
2026-05-17 14:48:01 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8888 (http) with context path ''
2026-05-17 14:48:01 INFO  [com.example.wyk.WykMusicApplication] - Started WykMusicApplication in 0.898 seconds (JVM running for 165.671)
2026-05-17 14:48:01 INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2026-05-17 14:48:03 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 34600 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:48:03 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:48:04 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:48:04 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:48:04 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
2026-05-17 14:48:04 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8888 (http)
2026-05-17 14:48:04 INFO  [o.a.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8888"]
2026-05-17 14:48:04 INFO  [o.a.catalina.core.StandardService] - Starting service [Tomcat]
2026-05-17 14:48:04 INFO  [o.a.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.56]
2026-05-17 14:48:04 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2026-05-17 14:48:04 INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 573 ms
2026-05-17 14:48:04 INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2026-05-17 14:48:04 INFO  [o.a.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8888"]
2026-05-17 14:48:04 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8888 (http) with context path ''
2026-05-17 14:48:04 INFO  [com.example.wyk.WykMusicApplication] - Started WykMusicApplication in 0.879 seconds (JVM running for 169.291)
2026-05-17 14:48:04 INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2026-05-17 14:48:59 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-17 14:48:59 INFO  [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2026-05-17 14:48:59 INFO  [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2026-05-17 14:48:59 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-2 - Starting...
2026-05-17 14:48:59 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-2 - Start completed.
2026-05-17 14:49:36 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-2 - Shutdown initiated...
2026-05-17 14:49:36 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-2 - Shutdown completed.
2026-05-17 14:49:36 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 34600 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:49:36 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:49:36 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:49:36 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:49:36 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 45 ms. Found 0 Redis repository interfaces.
2026-05-17 14:49:37 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8888 (http)
2026-05-17 14:49:37 INFO  [o.a.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8888"]
2026-05-17 14:49:37 INFO  [o.a.catalina.core.StandardService] - Starting service [Tomcat]
2026-05-17 14:49:37 INFO  [o.a.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.56]
2026-05-17 14:49:37 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2026-05-17 14:49:37 INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 812 ms
2026-05-17 14:49:37 INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2026-05-17 14:49:37 INFO  [o.a.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8888"]
2026-05-17 14:49:37 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8888 (http) with context path ''
2026-05-17 14:49:37 INFO  [com.example.wyk.WykMusicApplication] - Started WykMusicApplication in 1.242 seconds (JVM running for 262.379)
2026-05-17 14:49:37 INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2026-05-17 14:49:39 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 34600 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:49:39 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:49:39 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:49:39 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:49:39 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2026-05-17 14:49:40 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8888 (http)
2026-05-17 14:49:40 INFO  [o.a.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8888"]
2026-05-17 14:49:40 INFO  [o.a.catalina.core.StandardService] - Starting service [Tomcat]
2026-05-17 14:49:40 INFO  [o.a.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.56]
2026-05-17 14:49:40 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2026-05-17 14:49:40 INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 622 ms
2026-05-17 14:49:40 INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2026-05-17 14:49:40 INFO  [o.a.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8888"]
2026-05-17 14:49:40 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8888 (http) with context path ''
2026-05-17 14:49:40 INFO  [com.example.wyk.WykMusicApplication] - Started WykMusicApplication in 0.984 seconds (JVM running for 265.041)
2026-05-17 14:49:40 INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2026-05-17 14:50:54 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 34600 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:50:54 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:50:54 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:50:54 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:50:54 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2026-05-17 14:50:55 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8888 (http)
2026-05-17 14:50:55 INFO  [o.a.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8888"]
2026-05-17 14:50:55 INFO  [o.a.catalina.core.StandardService] - Starting service [Tomcat]
2026-05-17 14:50:55 INFO  [o.a.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.56]
2026-05-17 14:50:55 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
